game_id,minute,side,type
2624,90,away,red_card
2627,11,away,red_card
2638,90,away,red_card
2643,80,home,red_card
2644,37,away,red_card
2655,42,home,red_card
2660,75,away,red_card
2660,90,away,red_card
2661,64,home,red_card
2662,68,home,red_card
2664,90,away,red_card
2667,90,away,red_card
2671,90,away,red_card
2676,84,home,red_card
2677,80,away,red_card
2678,90,home,red_card
2686,90,away,red_card
2700,18,away,red_card
2708,64,away,red_card
2711,34,away,red_card
2712,77,away,red_card
2716,89,away,red_card
2717,89,away,red_card
2722,56,home,red_card
2723,85,away,red_card
2724,61,away,red_card
2728,90,away,red_card
2735,42,home,red_card
2735,90,away,red_card
2755,49,home,red_card
2757,90,away,red_card
2761,90,home,red_card
2781,45,home,red_card
2782,90,home,red_card
2783,90,away,red_card
2786,32,home,red_card
2794,51,home,red_card
2794,81,away,red_card
2804,58,away,red_card
2820,57,home,red_card
2823,81,home,red_card
2833,20,away,red_card
2839,84,away,red_card
2840,27,home,red_card
2840,62,away,red_card
2841,58,away,red_card
2845,6,home,red_card
2847,90,away,red_card
2850,4,away,red_card
2853,90,away,red_card
2871,25,away,red_card
2878,90,home,red_card
2882,66,away,red_card
2890,90,away,red_card
2892,90,away,red_card
2895,86,away,red_card
2896,69,away,red_card
2896,90,away,red_card
2897,88,home,red_card
2897,86,away,red_card
2907,90,home,red_card
2935,60,home,red_card
2940,66,home,red_card
2965,85,away,red_card
2968,65,away,red_card
2970,90,away,red_card
2978,35,away,red_card
2982,87,away,red_card
2987,90,away,red_card
2989,64,away,red_card
2999,43,away,red_card
2999,73,away,red_card
3005,83,away,red_card
3010,89,home,red_card
3010,89,away,red_card
3018,62,away,red_card
3019,34,away,red_card
3021,25,home,red_card
3021,47,away,red_card
3022,90,home,red_card
3027,67,away,red_card
3033,83,home,red_card
3042,55,home,red_card
3044,64,away,red_card
3045,65,away,red_card
3045,75,away,red_card
3053,28,away,red_card
3065,3,home,red_card
3067,51,away,red_card
3075,89,home,red_card
3085,90,home,red_card
3085,90,home,red_card
3085,90,away,red_card
3092,61,away,red_card
3095,45,away,red_card
3101,90,away,red_card
3108,87,home,red_card
3108,8,away,red_card
3111,73,away,red_card
3113,35,away,red_card
3116,90,home,red_card
3116,90,home,red_card
3117,44,away,red_card
3123,80,away,red_card
3128,72,away,red_card
3135,80,home,red_card
3136,69,away,red_card
3139,35,home,red_card
3142,43,away,red_card
3145,85,home,red_card
3155,85,away,red_card
3168,61,home,red_card
3173,3,away,red_card
3178,75,away,red_card
3188,67,away,red_card
3189,90,home,red_card
3189,88,away,red_card
3195,90,home,red_card
3201,80,away,red_card
3216,4,away,red_card
3221,85,home,red_card
3221,90,home,red_card
3244,80,away,red_card
3245,89,away,red_card
3247,62,away,red_card
3257,90,home,red_card
3257,90,away,red_card
3264,66,home,red_card
3273,23,away,red_card
3288,52,home,red_card
3297,62,away,red_card
3298,73,away,red_card
3326,74,home,red_card
3328,53,home,red_card
3329,78,home,red_card
3337,42,away,red_card
3359,90,home,red_card
3369,34,home,red_card
3371,54,home,red_card
3383,71,away,red_card
3389,86,home,red_card
3396,57,away,red_card
3401,39,home,red_card
3403,90,away,red_card
3412,88,home,red_card
3424,56,home,red_card
3425,90,home,red_card
3428,82,home,red_card
3436,61,home,red_card
3441,45,away,red_card
3441,90,away,red_card
3448,28,away,red_card
3457,80,away,red_card
3458,71,home,red_card
3466,32,home,red_card
3468,45,home,red_card
3469,41,home,red_card
3470,90,away,red_card
3478,90,home,red_card
